,alias,auctionEndTime,baseCcy,category,contTdSwTime,ctMult,ctType,ctVal,ctValCcy,expTime,futureSettlement,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,openType,optType,quoteCcy,ruleType,settleCcy,state,stk,tickSz,uly
0,,,USDT,1,,,,,,,False,,USDT-SGD,SPOT,,1734678000000,0.001,999999999999999.0000000000000000,20000000,999999999999999,1000000,1000000,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1,fix_price,,SGD,normal,,live,,0.0001,
1,,,USDC,1,,,,,,,False,,USDC-SGD,SPOT,,1734678600000,0.001,999999999999999.0000000000000000,20000000,999999999999999,1000000,1000000,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1,fix_price,,SGD,normal,,live,,0.0001,
2,,,BTC,1,,,,,,,False,,BTC-AUD,SPOT,,1723782600000,0.0000001,99999999999.0000000000000000,20000000,99999999999,46000,1000000,1000000,99999999999.0000000000000000,99999999999.0000000000000000,0.0001,fix_price,,AUD,normal,,live,,0.1,
3,,,ETH,1,,,,,,,False,,ETH-AUD,SPOT,,1723784400000,0.0000001,99999999999.0000000000000000,20000000,99999999999,45000,1000000,1000000,99999999999.0000000000000000,99999999999.0000000000000000,0.0001,fix_price,,AUD,normal,,live,,0.1,
4,,,SOL,1,,,,,,,False,,SOL-AUD,SPOT,,1733798100000,0.000001,999999999999.0000000000000000,20000000,999999999999,37000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.001,fix_price,,AUD,normal,,live,,0.01,
5,,,XRP,1,,,,,,,False,,XRP-AUD,SPOT,,1733798400000,0.0001,999999999999.0000000000000000,20000000,999999999999,38000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.1,fix_price,,AUD,normal,,live,,0.0001,
6,,,TRUMP,1,,,,,,,False,,TRUMP-AUD,SPOT,,1737543000000,0.0001,99999999999999.0000000000000000,20000000,99999999999999,9000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,0.1,fix_price,,AUD,normal,,live,,0.001,
7,,,USDT,1,,,,,,,False,,USDT-AUD,SPOT,,1723779000000,0.0001,99999999999999.0000000000000000,20000000,99999999999999,250000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,0.1,fix_price,,AUD,normal,,live,,0.0001,
8,,,USDC,1,,,,,,,False,,USDC-AUD,SPOT,,1723780800000,0.0001,99999999999999.0000000000000000,20000000,99999999999999,140000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,0.1,fix_price,,AUD,normal,,live,,0.0001,
9,,,BTC,1,,,,,,,False,,BTC-AED,SPOT,,1726545900000,0.000000001,999999999.0000000000000000,20000000,999999999,1000000,1000000,1000000,999999999.0000000000000000,999999999.0000000000000000,0.000001,fix_price,,AED,normal,,live,,1,
